Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
Abbotsford,25 Bloomburg St,2,house,1035000,property sold,Biggin,4/2/2016,2.5,3067,2,1,0.0,156,79.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,5 Charles St,3,house,1465000,property sold prior,Biggin,4/3/2017,2.5,3067,3,2,0.0,134,150.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,55a Park St,4,house,1600000,vendor bid,Nelson,4/6/2016,2.5,3067,3,1,2.0,120,142.0,2014.0,Yarra,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,house,1876000,property sold,Nelson,7/5/2016,2.5,3067,4,2,0.0,245,210.0,1910.0,Yarra,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,house,1636000,property sold,Nelson,8/10/2016,2.5,3067,2,1,2.0,256,107.0,1890.0,Yarra,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,house,1097000,property sold,Biggin,8/10/2016,2.5,3067,3,1,2.0,220,75.0,1900.0,Yarra,Northern Metropolitan,4019
Abbotsford,40 Nicholson St,3,house,1350000,vendor bid,Nelson,12/11/2016,2.5,3067,3,2,2.0,214,190.0,2005.0,Yarra,Northern Metropolitan,4019
Abbotsford,123/56 Nicholson St,2,unit,750000,property sold,Biggin,12/11/2016,2.5,3067,2,2,1.0,0,94.0,2009.0,Yarra,Northern Metropolitan,4019
Abbotsford,16 William St,2,house,1310000,property sold,Jellis,15/10/2016,2.5,3067,2,1,2.0,238,97.0,1890.0,Yarra,Northern Metropolitan,4019
Abbotsford,42 Henry St,3,house,1200000,property sold,Jellis,16/07/2016,2.5,3067,3,2,1.0,113,110.0,1880.0,Yarra,Northern Metropolitan,4019
Abbotsford,78 Yarra St,3,house,1176500,property sold,LITTLE,16/07/2016,2.5,3067,2,1,1.0,138,105.0,1890.0,Yarra,Northern Metropolitan,4019
